date,title,label,link,
2023-09-28,00: Welcome!,LECT,,
2023-10-03,Textbook: Ch 1,READ,,
2023-10-03,The Origins of Behavioral Genetics,READ,,
2023-10-03,RR01,ASSG,https://docs.google.com/forms/d/e/1FAIpQLScOF6KIukTkFSLCA0oDH-I2v6nDZqfwBZWzeK3GkF0tzu1hxQ/viewform?usp=sf_link,
2023-10-03,01: History of (Behavior) Genetics & Reading Papers,LECT,,
2023-10-05,Textbook: Ch 3-3.3,READ,,
2023-10-05,Watson & Crick’s 1953 Paper,OPT,https://www.nature.com/articles/171737a0,
2023-10-05,RR02,ASSG,https://docs.google.com/forms/d/e/1FAIpQLSfGCXpX1PhEaWSU237ZHIddDL22X3YUc3gFjmMC9Wj-kWe_MQ/viewform?usp=sf_link,
2023-10-05,02: Mendelian Genetics & The Central Dogma,LECT,,
2023-10-06,[Extra Credit] Pre-course survey due,EXTR,,
2023-10-10,Textbook: Ch 3.6-Summary & Ch2.6-Summary,READ,,
2023-10-10,Variants & Health,OPT,https://medlineplus.gov/genetics/understanding/mutationsanddisorders/,
2023-10-10,RR03,ASSG,https://docs.google.com/forms/d/e/1FAIpQLSc58M9rgZyjkVk_siKt6jrAnWdUzDMzgRhirvNqLcY9KGq4dg/viewform?usp=sf_link,
2023-10-10,"03: Genes, Variation, & Heritability",LECT,,
2023-10-12,Textbook: Ch 15-15.6; Ch17-17.2,READ,,
2023-10-12,RR04,ASSG,,
2023-10-12,04: Model Organisms & Neurogenetics,LECT,,
2023-10-17,Textbook: Ch 5; Ch 6; Ch 16-16.3,READ,,
2023-10-17,RR05,ASSG,https://docs.google.com/forms/d/e/1FAIpQLSer2ABJdzFbYKLg5oPzkJfkw5y74GgAQtrHRUjpf_tY-HAP6g/viewform?usp=sf_link,
2023-10-17,05: Genetic Techniques,LECT,,
2023-10-19,Textbook: Ch 4,READ,,
2023-10-19,Epigenetic programming by maternal behavior,READ,https://www.nature.com/articles/nn1276,
2023-10-19,RR06,ASSG,,
2023-10-19,06: Epigenetics*,LECT,,
2023-10-24,Textbook: Ch 17,READ,,
2023-10-24,TINS Fly Sleep,READ,,
2023-10-24,Internal Wakeup Call,OPT,,
2023-10-24,Circadian Rhythms & Sleep,OPT,,
2023-10-24,RR07,ASSG,https://docs.google.com/forms/d/e/1FAIpQLSe8tw9jhiAD90DIIEjJG_3Q76VOQc2OHoaifzDSyuyJPS9PCg/viewform?usp=sf_link,
2023-10-24,07: Sleep & Circadian Rhythms,LECT,,
2023-11-02,Textbook: Ch 12.1; Ch 9; Ch 16.4-16.7,READ,,
2023-11-02,Learning How a Fruit Fly Forgets,READ,,
2023-11-02,Breastfeeding and IQ,READ,,
2023-11-02,Genetic Foundations of Intelligence,OPT,,
2023-11-02,RR08,ASSG,,
2023-11-02,08: Intelligence,LECT,,
2023-10-31,Social behavior in ‘simple’ organisms,OPT,,
2023-10-31,Social Attachment,OPT,,
2023-10-31,Textbook: Ch 19; 8,READ,,
2023-10-31,Pair Bonding,READ,,
2023-10-31,Fly Social Behavior,READ,,
2023-10-31,09: Social Behavior,LECT,,
2023-10-27,Midterm Due,EXAM,https://www.gradescope.com,
2023-10-27,[Extra Credit] Mid-course survey,EXTR,,
2023-10-26,Genetics of Speech and Language Disorders,READ,,
2023-10-26,FOXP2 Variation in Great Apes,READ,,
2023-10-26,10: Speech & Language,LECT,,
2023-11-07,Textbook: Ch 10.4,READ,,
2023-11-07,Foraging Review,READ,,
2023-11-07,C. Elegans NPY,READ,,
2023-11-07,11: Eating & Exercise,LECT,,
2023-11-09,Textbook: Ch 18.4-18.5,READ,,
2023-11-09,Fly Aggression,READ,,
2023-11-09,Drosophila: Selection for Aggression,READ,,
2023-11-09,12: Aggression,LECT,,
2023-11-14,Textbook: Ch 10.1-10.3,READ,,
2023-11-14,Anxiety Genetics,READ,,
2023-11-14,13: Fear & Anxiety,LECT,,
2023-11-16,Love on the Fly,READ,,
2023-11-16,14: Sexual Selection & Sexual Orientation,LECT,,
2023-11-21,Textbook: Ch 2; Ch 7,READ,,
2023-11-21,Schizophrenia,READ,,
2023-11-21,15: Psychiatric Genetics,LECT,,
2023-11-23,No Class (Thanksgiving!),CNCL,,
2023-11-28,Textbook: Ch 11; Ch 12.3,READ,,
2023-11-28,Genetics of Addiction,READ,,
2023-11-28,Nicotine Addiction in Mice,READ,,
2023-11-28,Genetics and Smoking,READ,,
2023-11-28,"16: Addiction, OCD, & Personality Disorders",LECT,,
2023-11-30,17: Behavioral Genetics Day,LECT,,
2023-12-05,Student Presentations,LECT,,
2023-12-07,Student Presentations,LECT,,
2023-12-08,Final Report + Presentation Due,PROJ,https://www.gradescope.com,
2023-12-12,Final Exam Due,EXAM,https://www.gradescope.com,
2023-12-12,[Extra Credit] Post-course survey,EXTR,,